aabadulla अबदुल्ला
gloriana ग्लोरियाना
gomez गोमेज़
groves पेड़ों
gulal गुलाल
gunner गनर
gyan ज्ञान
gyanlata ज्ञानलता
haadiya हादिया
habiba हबीबा
habibakhatun हबीबखातून
habibullah हबीबुल्ला
hafij हाफिज
haidee हैदी
haider हैदर
hakikat तथ्य
hakima हकीमा
hakimuddin हकीमुद्दीन
haldi हल्दी
haleem हलीम
halima हलीमा
hamidabanu हमीदबानू
hampson हैम्पसन
hanna हैना
hansa हंसा
hansadev हंसदेव
hardev हरदेव
hareesh हरीश
harekrishna हरे कृष्णा
harendra हरेंद्र
harhsa हर्षा
haria हरिया
haribahadur हरिबहादुर
haricharan हरिचरण
hariharprasad हरिहरप्रसाद
harilal हरिलाल
harish हरीश
harshal हर्षल
harshita हर्षिता
hasibuddin हसीबुद्दीन
hasinabibi हसीनाबीबी
hasmukha हसमुख
hasrat मंशा
hatiram हाथीराम
hayadaraali हयादराली
hector हेक्टर
hedden हेडेन
heidi हाइडी
helena हेलेना
hemant हेमंत
herriott हेरियट
hilary हिलेरी
hilbert हिल्बर्ट
himali हिमाली
himmatsingh हिम्मतसिंह
hinton hiton
hiradevi हीरादेवी
hiralal हीरालाल
hitoshi हितोशी
holmer होल्मर
hriday हृदय
hrishikesh ऋषिकेश
ichchamati इच्छामति
iftikar इफ्तिकार
iglesias इग्लेसियस
ikhtiar इख्तियार
ilias इलियास
ilima इलिमा
iltaf इल्ताफ
imajul इमाजुल
iman ईमान
imtiaz इम्तियाज
indar ताकत
indradevi इंद्रादेवी
indu आईएनडीयू
insan इनसान
iraavatee इरावती
irfana इरफान
irina इरीना
isabell इसाबेल
ishan इशान
ismail इस्माइल
ismat इस्मत
istehar इस्तेहार
ivanka इवांका
jaagriti जागृति
jaahnavee जाह्नवी
jaanakeedaas जानकीदास
jaanakeeraman जानकीरमन
jacklin जैकलिन
jadulal जादूलाल
jafer जाफर
jagadamba जगदम्बा
jagatjyoti जगतज्योति
jagatlal जगतलाल
jagjeet जगजीत
jagjeevan जगजीवन
jagruti जागृति
jahanabibi जहानबीबी
jahanggir जहांगीर
jahannara जहाँनारा
jahir जहीर
jaikishan जयकिशन
jaishree जयश्री
jamila जमीला
jamun जामुन
jamuna जमुना
jannat जन्नत
jasmine चमेली
jayaben जयाबेन
jayantilal जयंतीलाल
jayendra जयेंद्र
jeevika जीविका
jemima जेमिमा
jessika जेसिका
jharna झरना
jitendrakumar जितेंद्रकुमार
jitu जीतू
joceline joceline
jodha जोधा
jogendra जोगेंद्र
josef जोसफ
joshua यहोशू
jubeida जुबैदा
jugalkishor जुगलकिशोर
julfikkar जुल्फिकार
juli जुलाई
juliana जुलियाना
juliann जूलियन
justina जस्टिना
jyostna ज्योस्तना
jyoti ज्योति
kaajal काजल
kaalidasa कालिदास
kabeer कबीर
kafir नास्तिक
kaifi कैफी
kaikeyi कैकेयी
kailashchandra कैलाशचंद्र
kaladevi कलादेवी
kalam कलाम
kalavati कलावती
kalicharan कालीचरण
kalki कल्कि
kalpataru कल्पतरु
kalyanajit कल्याणजीत
kamadev कामदेव
kamaladevi कमलादेवी
kamaldip कमलदीप
kanahaiya कन्हैया
kangana कंगना
kanishk कनिष्क
kanjilal कांजीलाल
kapildev कपिल देव
karan करण
kareem करीम
kartick कार्तिक
karuna करुणा
kathlin कैथलिन
kavita कविता
kelsi केल्सी
kendal केंडल
keshaw केशव
khatun खातून
khurshid खुर्शीद
kiriti किरीटी
kishan किशन
kohinur कोहिनूर
kokiladevi कोकिलादेवी
kranti क्रांति
kristina क्रिस्टीना
kristof क्रिस्टोफ
kristofer क्रिस्टोफर
kshitij क्षितिज
kudrut कुद्रुत
kushala कुशला
kusuma कुसुमा
kylie काइली
laavanya लावण्य
lageshwari लगेश्वरी
lagna लग्न
lahiri लाहिड़ी
lajpat लाजपत
lakhan लाख
lakhbir लखबीर
lakshmibala लक्ष्मीबाला
lakshmipriya लक्ष्मीप्रिया
lalachand लालचंद
laleshwar लालेश्वर
lalima लालिमा
lalit ललित
larison लारिसन
larson लार्सन
latifah लतीफा
latikadebi लतिकादेबी
laureen लॉरेन
lavanyadevi लावण्यदेवी
lavesh लवेश
lavkush लवकुश
lawrance लॉरेंस
laxmikant लक्ष्मीकांत
leelavati लीलावती
levinsky लेविंस्की
liliane लिलियन
lina लीना
lopez लोपेज
luciana लुसियाना
lyndsie लिंडसी
maadhav माधव
maagadhee मागधी
madanraj मदनराज
maddison मैडिसन
madelin मैडलिन
madhava माधव
madhudevi मधुदेवी
madhukar मधुकर
madhumala मधुमाला
mahadeva महादेव
mahafuj महाफुज
mahamud महमूद
mahesha महेश
majnu मजनू
maksud का इरादा
malvin माल्विन
mandira मंदिरा
maniklal माणिकलाल
manjula मंजुला
manjunath मंजूनाथ
manoja मनोज
maqsud मकसूद
margarette मार्गरेट
mariann मैरिएन
mariyam मरियम
markovic मार्कोविक
markus मार्कस
marylin मर्लिन
masroor मसरूर
mattie मैटी
mayurakshi मयूराक्षी
meerabai मीराबाई
meghmala मेघमाला
mehabuba महबूबा
mehendi मेहंदी
michele मिशेल
minakshi मीनाक्षी
miranda मिरांडा
mitali मिताली
mithilesh मिथिलेश
mohini मोहिनी
moksha मोक्ष
momeda मोमेडा
momina मोमिना
moona चांद
mridul मृदुल
mrityunjay मृत्युंजय
mubarka मुबारक
mukesh मुकेश
mukund मुकुंद
murlidhar मुरलीधर
muskan मुस्कान
mustafa मुस्तफा
mythili मैथिली
naagchand नागचंद
naagpal नागपाल
naamdev नामदेव
nabhya नाभ्या
nabijul नबीउल
nachiketa नचिकेता
nadeem नदीम
nadirabegum नादिराबेगम
nagabhooshan नागभूषण
nagaraj नागराज
naimuddin नईमुद्दीन
naisha नायशा
nalina नलिना
nandini नंदिनी
nandkishor nandkishor
narangi नारंगी
narendar नरेंद्र
nargis नार्सिसस
natalie नेटली
nathmal नथमल
naushad नौशाद
navaneet नवनीत
naveenkumar नवीन कुमार
navrang नवरंग
nayana नयना
neelofar नीलोफर
netra नेत्र
nevada नेवादा
nezamuddin निजामुद्दीन
nihaar निहार
nikhat निखत
nikhilesh निखिलेश
nikola निकोला
niladri नीलाद्री
nilkamal नीलकमल
nilkantha नीलकंठ
nimesh निमेश
niramala निरामला
nirguna निर्गुण
nirupam निरुपम
nischint निश्चिंत
nishimoto निशिमोटो
niti नीति
noelle नोनेन
noemi नाओमी
noorjaha नूरजहा
nupur नूपुर
olivarez ओलिवारेज़
olson ओल्सन
omair omar
omkaarnath ओंकारनाथ
omkara ओमकारा
oodayachand उदयचंद
oonnati ऊन्नति
oormilarani ऊर्मिलारानी
oosharani ऊषारानी
orlando ऑरलैंडो
ortega ओर्टेगा
paanchaalee पांचाली
paarth पार्थ
paarvatee पार्वती
padarath पदरथ
padmaa पद्मा
padmakant पद्माकांत
pahal पहल
pakhi पाखी
palak पालक
palash पलाश
pallavee pallave
palturam पलटूराम
panchi पंछी
panth पंथ
paolini पाओलिनी
paramdev परमदेव
parasa परसा
parimal परिमल
parinita परिणीता
parween परवीन
parwej परवेज
patricia पेट्रीसिया
patrik पैट्रिक
pavan पवन
pavlov पावलोव
payel पायल
peyton peyton
phalguni फाल्गुनी
philipp फिलिप
piali पियाली
pinaaki पिनाकी
pinki कनिष्ठा
pintoo चितकबरा
pitambari पीताम्बरी
piyush पीयूष
poornima पूर्णिमा
prabhuh प्रभु
pracheta प्रचेता
prachi प्राची
pradip प्रदीप
prafull प्रफुल्ल
pragya प्रज्ञा
prahalad प्रहलाद
prajapati प्रजापति
prajwal प्रज्वल
pralaya प्रलय
prama प्रमा
pramila प्रमिला
pranay प्रणय
prannath प्राणनाथ
prasenjit प्रसेनजीत
prataap प्रताप
pratibha प्रतिभा
premchandra प्रेमचंद्र
preston प्रेस्टन
prithiviraj पृथ्वीराज
priya प्रिया
pulkeshwar पुलकेश्वर
punit पुनीत
punj पुंज
punyalaxmi पुण्यलक्ष्मी
purti पूर्ति
purushottam पुरुषोत्तम
pushpaanjali पुष्पांजलि
pyarelal प्यारेलाल
qabil काबिल
qamruddin कमरुद्दीन
qasim कासिम
quinn क्विन
quinton क्विंटन
qutubuddin कुतुबुद्दीन
raajeev राजीव
raamaanuj रामानुज
rabia राबिया
rachit रचित
radhakrishna राधाकृष्ण
rafia दुराचार
raghava राघव
raghuveer रघुवीर
ragini रागिनी
rahaman रहमान
raheem रहीम
rajakumari राजकुमारी
rajanikant रजनीकांत
rajasri राजश्री
rakhee राखी
ramachandra रामचंद्र
ramakant रमाकांत
ramdeo रामदेव
ramos रामोस
ranajit रणजीत
ranjeet रंजीत
ranoo रानू
raphael रफएल
rashida रशीदा
rati रति
ratnam रत्नम
ravana रावण
ravinder रविंदर
raychand रायचंद
rebeca रेबेका
rehan रेहान
riccardo रिकार्डो
ridhi ऋद्धि
rishabh रिषभ
riya रिया
rizwanul रिजवानुल
robbin रोबिन
rohana रोहना
romanowski रोमानोव्स्की
roopesh रूपेश
rubino रुबिनो
rudrah रुद्र
rukhsar रुखसार
rukmini रुक्मणी
rupchand रूपचंद
saachi साची
saanjh सांझ
saavan Saavn
sabatini sabatini
sabitri sabitri
sabiyakhatun सबियाखातून
sachdeva सचदेवा
sachina सचिन
sadaashiva सदाशिव
safikul सफीकुल
sagara सगर
saiba साईबा
saif सैफ
sairabanu सायरा बानो 
sairam साई राम
sakina सकीना
sakurai साकुराई
salamuddin सलामुद्दीन
salma सलमा
samarthak समरथक
samata समता
samiksha समीक्षा
samira समीरा
samriddhi समृद्धि
samson सैमसन
sanchit संचित
sandeep संदीप
sandhyakumari संध्याकुमारी
sangeetaa संगीता
sanjeeda संजीदा
sanjit संजीत
sanjiv संजीव
sankar शंकर
santini सैंटिनी
santoshi संतोषी
sapanaa सपना
sarabuddin सरबुद्दीन
saraswati सरस्वती
sarthak सार्थक
sateyndranath सत्येंद्रनाथ
satyavaan सत्यवान
sejal सेजल
shabana शबाना
shailaja शैलजा
shakuntla शकुंतला
shalini शालिनी
shambhunath शंभुनाथ
shanta शांता
sharmili शर्मीली
shashank शशांक
shashwat शाश्वत
shivani शिवानी
shresth श्रेष्ठ
shripati श्रीपति
shruti श्रुति
shubhankar शुभंकर
siddhartha सिद्धार्थ
snehal स्नेहल
sofie सोफी
soumya सौम्या
srishti सृष्टि
stanly स्टेनली
stefano स्टेफानो
steves स्टीव
sudhir सुधीर
suhana सुहाना
sulieman सुलेमान
suman सुमन
summers गर्मियों
sundara सुंदर
surendra सुरेंद्र
suryakumar सूर्यकुमार
sushila सुशीला
suzanna सुज़ाना
swapan स्वपन
swapnil स्वप्निल
swara स्वरा
sylvan वनीय
taahira ताहिरा
tabrez तबरेज
tabssum tabsum
taiba तैयबा
takashi ताकाशी
tanmay तन्मय
taradevi तारादेवी
tarak तारक
tarkeshwar तारकेश्वर
tarunakumar तरुणकुमार
taslima तसलीमा
tatiana तातियाना
taufique तौफिक
tayebaali थंबलीना
tejas तेजस
tejaswinee तेजस्विनी
teresa टेरेसा
tiffani नाम टिफ़नी
torres टोरेस
tulip ट्यूलिप
tulsi तुलसी
tulsidaas तुलसीदास
tushara तुषारा
twinkle टिमटिमाहट
tyagi त्यागी
udaya उदय
ujaala उजाला
ujbal उज्वल
uma उमा
umachandra उमाचंद्र
umar कुमार
umesha उमेश
unnati उन्नति
urmmila उर्मिला
urvashee उर्वशी
ushaakiran उशाकिरण
utkarsh उत्कर्ष
utsav उत्सव
vaani वाणी
vaishaalee वैशाली
vaishnavee वैष्णवी
valentin वैलेन्टिन
valeri वैलेरी
vandita वंदिता
vasudeva वासुदेव
veda वेद
vedant वेदांत
veronica वेरोनिका
vijai विजय
vikrant विक्रांत
vinita विनीता
violette बैंगनी
vipul विपुल
viral वायरल
vishaka विशाखा
vishal विशाल
vishvanath विश्वनाथ
vishwasa विश्वास
viveka विवेक
vivianne विवियन
vladimir व्लादिमीर
waahid वाहिद
wahida वहीदा
wendi वेंडी
wharton व्हार्टन
wilker विल्कर
willy चंट
winslet विंसलेट
wolfrey वोल्फरी
yakubali याकूबली
yami यामी
yamuna यमुना
yankowski यांकोवस्की
yashoda यशोदा
yashomati यशोमति
yashpal यशपाल
yashraj यशराज
yashwant यशवंत
yasin यासीन
yati यति
yelton येल्टन
yogeshwari योगेश्वरी
yogindra योगिंद्र
yoosuf यूसुफ
yoshimoto योशिमोटो
yudhishtir युधिष्ठिर
yukti युक्ति
yuvaraja युवराज
zaahid ज़ाहिद
zainab ज़ैनब
zarina जरीना
zenith शीर्षबिंदु
zinat ज़ीनत
